iso3,gcm,scenario,variable,from_year,to_year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
ISR,bccr_bcm2_0,b1,tas,2020,2039,48.433195801400004,49.4015197748,55.51764161,63.325240484,70.38272582600001,77.216441648,82.460128172,84.14671631,78.333388664,71.231848142,59.675208745999996,51.152213138
ISR,bccr_bcm2_0,a2,tas,2040,2059,49.2004150394,50.523817136,56.048468017999994,63.731844482,71.973985604,79.480240484,83.69762817200001,85.198195796,80.24343872,72.26866088599999,61.01422241,53.189078378000005
ISR,bccr_bcm2_0,b1,tas,2040,2059,47.768621826200004,49.0625366216,55.475860604,64.45478881400001,70.74031982,78.994282226,82.955743412,85.07033691800001,78.98658081800001,70.38874634,59.90500976,51.69578369
ISR,bccr_bcm2_0,a2,tas,2060,2079,50.187272954,51.08750366,57.605845946,65.52271484600001,71.863551032,80.92203125,85.92442505599999,87.75674682799999,82.094898686,73.965290522,62.536927496000004,54.087067868000005
ISR,bccr_bcm2_0,b1,tas,2060,2079,48.2611608878,49.875986328799996,55.91673095,64.457930912,71.122138664,79.317478022,84.08490722600001,85.04781494,79.78707762799999,71.358542474,60.704320064,52.717797860000005
ISR,bccr_bcm2_0,a2,tas,2080,2099,51.16843994,53.033731681999996,58.63499024,66.945070796,73.35116576600001,83.43420899,87.03552734600001,89.975754392,84.12933594200001,76.26786011600001,64.732248536,55.426894538
ISR,bccr_bcm2_0,b1,tas,2080,2099,48.450751953799994,50.412130124,56.323159178,64.893670646,72.45055054400001,80.123347166,83.658297128,85.5643811,80.20812866,72.112468262,60.805020758,51.839693600000004
ITA,bccr_bcm2_0,a2,tas,2020,2039,45.9739355468,45.4624890134,47.2412451164,51.626491088,58.41671387,65.56193969,70.8019403,71.510093384,66.298512578,59.568439946,52.91520935,48.839893188800005
ITA,bccr_bcm2_0,b1,tas,2020,2039,45.653167724,45.422509766,46.9140539558,51.146747438,57.527559212,65.596594244,71.312583002,72.28522094,66.699533696,60.720065312,52.139190056000004,48.9056005868
ITA,bccr_bcm2_0,a2,tas,2040,2059,47.2544049074,45.9744519038,48.1145300294,52.512844244,58.393111568,66.609562982,72.086091926,72.040614008,66.625894166,60.73160828,54.439617308,48.9915960692
ITA,bccr_bcm2_0,b1,tas,2040,2059,46.5853668206,45.8326019282,47.1761987306,51.33724853,57.723286136,66.279041132,71.61588440599999,72.13797118400001,66.34350158000001,61.372601924,53.41962281,49.121985473600006
ITA,bccr_bcm2_0,a2,tas,2060,2079,48.1333367912,46.379719238,49.513080444799996,54.203189702,59.718941654000005,68.083986812,73.548009644,74.285655512,68.59470824600001,61.747849130000006,55.026406256,50.213740838
ITA,bccr_bcm2_0,b1,tas,2060,2079,47.3458605962,46.6924780274,48.6493298348,52.95590087,58.72386596,66.742984616,72.374109494,73.143769532,67.29057617000001,60.61874756,52.905510248,49.317175904
ITA,bccr_bcm2_0,a2,tas,2080,2099,48.7841888426,49.0587426752,50.451171872,55.313149406,60.587936402,69.537591554,74.98062316400001,76.493782958,70.753184816,63.18577454,55.536202994,51.638028566
ITA,bccr_bcm2_0,b1,tas,2080,2099,47.3931585698,46.579730835199996,48.441025391,52.919565422000005,59.461072394,67.416818234,72.68672912,72.73392089000001,67.42496093,61.232736812,54.194975582,48.7413751226
MAR,bccr_bcm2_0,a2,tas,2020,2039,46.9888973996,49.9538821406,56.896291202,62.94803864000001,68.518521734,74.365316474,80.926302182,80.82062195,76.00140869,66.65192261600001,57.177077018,51.018872072
MAR,bccr_bcm2_0,b1,tas,2020,2039,47.559313049000004,50.685420524,57.680640878000006,62.345902712,67.056274418,73.86481230800001,81.336309206,80.65968871999999,75.148608704,66.160993046,56.560189208,50.409515372
MAR,bccr_bcm2_0,a2,tas,2040,2059,48.064991759600005,51.363642272,58.591819454,64.384465334,69.50719787,75.48905579000001,81.28560455600001,81.445590212,76.439727482,67.244667962,57.77243438000001,50.587447208
MAR,bccr_bcm2_0,b1,tas,2040,2059,47.5676818844,50.445740048000005,58.303307498,63.617998658,68.53194428,75.452570186,81.378809816,81.23374907600001,76.262325746,67.83909972800001,57.418864142000004,50.757125558
MAR,bccr_bcm2_0,a2,tas,2060,2079,48.8311233512,52.121948846,60.567320552,65.808568112,70.777165226,77.42852447000001,83.81654693600001,83.867553716,79.371074822,69.583102412,59.44093628,52.362554935999995
MAR,bccr_bcm2_0,b1,tas,2060,2079,48.050014649000005,51.54196136,59.836117244,64.906230776,70.083966362,76.065099188,82.21270233199999,82.317402032,76.854785468,68.262630926,57.87118499,51.982268684000005
MAR,bccr_bcm2_0,a2,tas,2080,2099,50.492959286,54.47342408,62.428319402,68.509161374,73.392864386,79.69848387799999,86.00485321400001,86.003147588,80.48993621,71.49879944599999,61.223517464,53.739347846
MAR,bccr_bcm2_0,b1,tas,2080,2099,48.724734497,51.013225094000006,59.318471678,64.98031433,69.067192694,75.973632512,82.71367889000001,82.91116913,77.635136102,68.42756317999999,58.443089288,51.49421753
MDA,bccr_bcm2_0,a2,tas,2020,2039,23.8266662594,23.3196472166,28.4272131344,41.4141955574,61.533612068,71.554088138,78.465565184,76.413703622,62.606954354,50.399550788,37.9184448236,30.6491760248
MDA,bccr_bcm2_0,b1,tas,2020,2039,24.0857678228,23.008107911,29.0472924812,41.7479272466,59.596656494,72.86953613,79.611527102,76.625267342,62.308302008,50.94999878,38.5116625976,32.8648657226
MDA,bccr_bcm2_0,a2,tas,2040,2059,27.953504637800002,25.858609619,31.2003491216,44.2246630856,61.220260004000004,73.88329956800001,82.481749268,77.42601685400001,63.60754515799999,51.795297860000005,40.010043945199996,32.5187853998
MDA,bccr_bcm2_0,b1,tas,2040,2059,24.0536437988,24.3230395514,28.2726025394,40.3011926276,58.868383784,73.119716798,79.062595214,76.12547728999999,60.626965334000005,50.482113044,38.5357116704,29.264624024
MDA,bccr_bcm2_0,a2,tas,2060,2079,28.7244592286,26.7381201164,33.3885290522,46.748090820200005,63.782722166,75.99029052200001,82.568464358,80.636441648,65.684565428,52.644606925999994,41.4068237312,32.7620227046
MDA,bccr_bcm2_0,b1,tas,2060,2079,25.839119872399998,26.271124268,31.4958264152,43.5489270026,59.505173348,73.237918694,80.648548592,78.023782958,63.228560792,50.565213626,38.3267846678,29.4224975582
MDA,bccr_bcm2_0,a2,tas,2080,2099,29.369807128399998,30.9110351558,36.6984350582,49.7932592774,63.858967286,77.83046753,84.580028078,82.59082152799999,67.920250244,54.139703378,40.8683837894,35.0750842286
MDA,bccr_bcm2_0,b1,tas,2080,2099,27.6733093262,26.1463415522,29.7572070308,43.5212304692,61.357292474000005,74.576075432,80.780692136,76.022700188,63.807419425999996,50.270021978,40.1321459966,30.728859863
NZL,bccr_bcm2_0,a2,tas,2020,2039,59.619901604000006,60.921442094,60.016323632,57.074987354,54.161985992,51.508901534,49.777354212800006,49.2889569962,49.9923488066,51.525514435999995,54.171920768,56.623512056
NZL,bccr_bcm2_0,b1,tas,2020,2039,59.410539463999996,60.777839012,59.55176282,56.787369206,53.614007564000005,51.133559522,49.50850307,49.0021432052,49.763501630600004,51.428960312,53.752025282,56.58081251
NZL,bccr_bcm2_0,a2,tas,2040,2059,60.567360584,61.563834266,60.600299936,58.093333646000005,54.954398462,52.295677628,50.639616176000004,50.042776046,50.342908802,52.264219442,54.825536678,57.955049132
NZL,bccr_bcm2_0,b1,tas,2040,2059,60.154863188,61.507658821999996,60.636227198,57.833126402000005,54.691464236,51.9921293,50.350165664,49.609883335999996,50.247370904,51.940748588000005,54.116991104,57.503244236
NZL,bccr_bcm2_0,a2,tas,2060,2079,61.648221038,63.014529847999995,61.767701294,59.218584764,56.162460974,53.819914892,51.575298206,51.128476394,51.550914434,53.378517578,55.758062084,58.702639334
